12,1,1,1,1,39,37,37,37,37,3,1,1,1,1,36,37,37,37,37,21,1,1,1,1,0,39,39,39,35,13,13,13,13,24,39,39,39,39,35
12,1,1,1,1,39,37,37,37,37,3,1,1,1,1,36,37,37,37,37,21,1,1,1,1,39,0,37,37,32,1,1,1,1,13,37,37,37,37,33
12,1,1,1,1,39,37,37,37,37,3,1,1,1,1,36,37,37,37,37,21,1,1,1,1,39,37,0,37,32,1,1,1,1,13,37,37,37,37,33
12,1,1,1,1,39,37,37,37,37,3,1,1,1,1,36,37,37,37,37,21,1,1,1,1,39,37,37,0,32,1,1,1,1,13,37,37,37,37,33
18,5,5,5,5,38,34,34,34,34,6,2,2,2,2,36,36,36,36,36,27,13,13,13,13,35,32,32,32,0,1,1,1,1,13,37,37,37,37,34
41,37,37,37,37,14,1,1,1,1,36,37,37,37,37,16,1,1,1,1,34,37,37,37,37,13,1,1,1,1,0,37,37,37,39,15,15,15,15,26
41,37,37,37,37,14,1,1,1,1,36,37,37,37,37,16,1,1,1,1,34,37,37,37,37,13,1,1,1,1,37,0,37,37,39,1,1,1,1,17
41,37,37,37,37,14,1,1,1,1,36,37,37,37,37,16,1,1,1,1,34,37,37,37,37,13,1,1,1,1,37,37,0,37,39,1,1,1,1,17
41,37,37,37,37,14,1,1,1,1,36,37,37,37,37,16,1,1,1,1,34,37,37,37,37,13,1,1,1,1,37,37,37,0,39,1,1,1,1,17
42,38,38,38,38,19,3,3,3,3,38,38,38,38,38,22,3,3,3,3,37,39,39,39,39,24,13,13,13,13,39,39,39,39,0,1,1,1,1,17
12,1,1,1,1,39,37,37,37,37,17,1,1,1,1,39,37,37,37,37,16,1,1,1,1,39,37,37,37,37,15,1,1,1,1,0,39,39,39,30
12,1,1,1,1,39,37,37,37,37,17,1,1,1,1,39,37,37,37,37,16,1,1,1,1,39,37,37,37,37,15,1,1,1,1,39,0,37,37,28
12,1,1,1,1,39,37,37,37,37,17,1,1,1,1,39,37,37,37,37,16,1,1,1,1,39,37,37,37,37,15,1,1,1,1,39,37,0,37,28
12,1,1,1,1,39,37,37,37,37,17,1,1,1,1,39,37,37,37,37,16,1,1,1,1,39,37,37,37,37,15,1,1,1,1,39,37,37,0,28
17,3,3,3,3,37,35,35,35,35,23,5,5,5,5,35,32,32,32,32,25,11,11,11,11,35,33,33,33,34,26,17,17,17,17,30,28,28,28,0
